iteration,lambda,learning_rate,rms
1,0.5,0.57,0.200744731187
1,0.5,0.58,0.139792509857
1,0.5,0.59,0.0911067861645
1,0.5,0.6,0.0868026142577
1,0.5,0.61,0.164078301493
1,0.5,0.62,0.0698486460493
1,0.5,0.63,0.100805265063
1,0.5,0.64,0.256323748409
1,0.5,0.65,0.101396916418
1,0.5,0.66,0.0617637470004
1,0.5,0.67,0.124302008519
1,0.5,0.68,0.116851123975
1,0.5,0.69,0.147945410434
1,0.5,0.7,0.137448243717
1,0.5,0.71,0.148946560216
1,0.5,0.72,0.104538092779
1,0.5,0.73,0.196096947216
1,0.5,0.74,0.152159609389
1,0.5,0.75,0.165406897047
1,0.5,0.76,0.169522072648
1,0.5,0.77,0.144620669051
1,0.5,0.78,0.11913937049
1,0.5,0.79,0.238595297105
1,0.5,0.8,0.211439407025
1,0.5,0.81,0.155765483457
1,0.5,0.82,0.0918729999683
1,0.5,0.83,0.106972648608
1,0.5,0.84,0.106309621175
1,0.5,0.85,0.278690438518
1,0.5,0.86,0.162011214698
1,0.5,0.87,0.108815561229
1,0.5,0.88,0.110805451039
1,0.5,0.89,0.150365019351
1,0.5,0.9,0.136825931078
1,0.5,0.91,0.147559406226
1,0.5,0.92,0.247923904863
1,0.5,0.93,0.236405016481
1,0.5,0.94,0.113463292526
1,0.5,0.95,0.208999367315
1,0.5,0.96,0.224207606889
1,0.5,0.97,0.147233079031
1,0.5,0.98,0.13483455303
1,0.5,0.99,0.165176012302
1,0.5,1.0,0.173811807799
1,0.5,1.01,0.146696881956
1,0.5,1.02,0.254563692327
1,0.5,1.03,0.147875808023
1,0.5,1.04,0.345012395083
1,0.5,1.05,0.0786798808247
1,0.5,1.06,0.202580704927
1,0.5,1.07,0.15465615206
1,0.5,1.08,0.191965025565
1,0.5,1.09,0.118910089583
1,0.5,1.1,0.145582022731
1,0.5,1.11,0.236110076994
1,0.5,1.12,0.222498457361
1,0.5,1.13,0.209162005286
1,0.5,1.14,0.157554039642
1,0.5,1.15,0.233151109767
1,0.5,1.16,0.198185682412
1,0.5,1.17,0.199238329645
1,0.5,1.18,0.129450024195
1,0.5,1.19,0.232189610487
1,0.5,1.2,0.178714839065
1,0.5,1.21,0.293268714108
1,0.5,1.22,0.191979138246
1,0.5,1.23,0.154316484181
1,0.5,1.24,0.234594840941
1,0.5,1.25,0.155043395292
1,0.5,1.26,0.140457256682
1,0.5,1.27,0.238687341032
1,0.5,1.28,0.171885305377
1,0.5,1.29,0.364599351905
1,0.5,1.3,0.319676091141
1,0.5,1.31,0.229540915362
1,0.5,1.32,0.186827385295
1,0.5,1.33,0.149075718371
1,0.5,1.34,0.318658651035
1,0.5,1.35,0.151088980367
1,0.5,1.36,0.158532332688
1,0.5,1.37,0.22469782782
1,0.5,1.38,0.206837114593
1,0.5,1.39,0.225056314026
1,0.5,1.4,0.334347794844
1,0.5,1.41,0.1594238931
1,0.5,1.42,0.27163155149
1,0.5,1.43,0.246647603108
1,0.5,1.44,0.204911450842
1,0.5,1.45,0.175811137704
1,0.5,1.46,0.181890254988
1,0.5,1.47,0.222425292807
1,0.5,1.48,0.111669097585
1,0.5,1.49,0.234605251436
1,0.5,1.5,0.152233184013
1,0.2,0.0,0.509009733788
1,0.2,0.01,0.497561603602
1,0.2,0.02,0.471254240122
1,0.2,0.03,0.475388214198
1,0.2,0.04,0.465400328621
1,0.2,0.05,0.43632743139
1,0.2,0.06,0.409878712094
1,0.2,0.07,0.43549073492
1,0.2,0.08,0.324324085851
1,0.2,0.09,0.344977917563
1,0.2,0.1,0.307129896072
1,0.2,0.11,0.400947771695
1,0.2,0.12,0.394019835651
1,0.2,0.13,0.303127265651
1,0.2,0.14,0.293959569985
1,0.2,0.15,0.321855113374
1,0.2,0.16,0.219038003341
1,0.2,0.17,0.394914824184
1,0.2,0.18,0.309127774498
1,0.2,0.19,0.321501327265
1,0.2,0.2,0.349644824684
1,0.2,0.21,0.111987279836
1,0.2,0.22,0.372838270273
1,0.2,0.23,0.23646778384
1,0.2,0.24,0.232289401833
1,0.2,0.25,0.234727046944
1,0.2,0.26,0.124213321238
1,0.2,0.27,0.154196896424
1,0.2,0.28,0.235169893541
1,0.2,0.29,0.327832674001
1,0.2,0.3,0.229584818531
1,0.2,0.31,0.137550416841
1,0.2,0.32,0.27684249463
1,0.2,0.33,0.131946854021
1,0.2,0.34,0.140808193906
1,0.2,0.35,0.318012666535
1,0.2,0.36,0.088503289372
1,0.2,0.37,0.155541839483
1,0.2,0.38,0.162025991521
1,0.2,0.39,0.322165948032
1,0.2,0.4,0.292956381393
1,0.2,0.41,0.215799815663
1,0.2,0.42,0.0591241590203
1,0.2,0.43,0.113313256602
1,0.2,0.44,0.250053391621
1,0.2,0.45,0.31977369352
1,0.2,0.46,0.12153760574
1,0.2,0.47,0.0993922859124
1,0.2,0.48,0.0755757424348
1,0.2,0.49,0.27323604208
1,0.2,0.5,0.149243052916
1,0.2,0.51,0.129978286508
1,0.2,0.52,0.127898682395
1,0.2,0.53,0.0922309879182
1,0.2,0.54,0.158351237662
1,0.2,0.55,0.139902846319
1,0.2,0.56,0.160231658051
1,0.2,0.57,0.135149114867
1,0.2,0.58,0.0919730782755
1,0.2,0.59,0.113175148284
1,0.2,0.6,0.163814751895
1,0.2,0.61,0.0712571792765
1,0.2,0.62,0.0531759556803
1,0.2,0.63,0.2001522754
1,0.2,0.64,0.0824267739981
1,0.2,0.65,0.0942267387781
1,0.2,0.66,0.157891783755
1,0.2,0.67,0.114278396303
1,0.2,0.68,0.0955678362557
1,0.2,0.69,0.110502672096
1,0.2,0.7,0.367373301052
1,0.2,0.71,0.129487871988
1,0.2,0.72,0.110140606413
1,0.2,0.73,0.0604080944746
1,0.2,0.74,0.147986694546
1,0.2,0.75,0.114682443258
1,0.2,0.76,0.160573706878
1,0.2,0.77,0.187867413179
1,0.2,0.78,0.0827532677821
1,0.2,0.79,0.16765290704
1,0.2,0.8,0.0604974771693
1,0.2,0.81,0.0932528363274
1,0.2,0.82,0.135361812848
1,0.2,0.83,0.101431568224
1,0.2,0.84,0.101765798304
1,0.2,0.85,0.200606898448
1,0.2,0.86,0.132190171332
1,0.2,0.87,0.109943521947
1,0.2,0.88,0.206686904733
1,0.2,0.89,0.131770071417
1,0.2,0.9,0.218312110738
1,0.2,0.91,0.187111500546
1,0.2,0.92,0.26574413733
1,0.2,0.93,0.0869279783217
1,0.2,0.94,0.0471178888184
1,0.2,0.95,0.270413774758
1,0.2,0.96,0.155774178519
1,0.2,0.97,0.150661298977
1,0.2,0.98,0.146103402879
1,0.2,0.99,0.147557146687
1,0.2,1.0,0.135192922673
1,0.2,1.01,0.132830974311
1,0.2,1.02,0.191690779812
1,0.2,1.03,0.15771197371
1,0.2,1.04,0.122283131659
1,0.2,1.05,0.17416195824
1,0.2,1.06,0.249395588953
1,0.2,1.07,0.165282748126
1,0.2,1.08,0.138432587459
1,0.2,1.09,0.263868308058
1,0.2,1.1,0.167098576232
1,0.2,1.11,0.0632294026492
1,0.2,1.12,0.258850784199
1,0.2,1.13,0.117373958812
1,0.2,1.14,0.155458609816
1,0.2,1.15,0.173733185911
1,0.2,1.16,0.142120252181
1,0.2,1.17,0.127384887194
1,0.2,1.18,0.330839328527
1,0.2,1.19,0.201213098593
1,0.2,1.2,0.157945895054
1,0.2,1.21,0.177551841809
1,0.2,1.22,0.117949001826
1,0.2,1.23,0.0947603067286
1,0.2,1.24,0.21806547608
1,0.2,1.25,0.265859773655
1,0.2,1.26,0.136798504883
1,0.2,1.27,0.129055495415
1,0.2,1.28,0.168150405671
1,0.2,1.29,0.167000281369
1,0.2,1.3,0.197661066855
1,0.2,1.31,0.16493026045
1,0.2,1.32,0.195162232774
1,0.2,1.33,0.16150031449
1,0.2,1.34,0.17996029105
1,0.2,1.35,0.138921983559
1,0.2,1.36,0.167539042674
1,0.2,1.37,0.257888900911
1,0.2,1.38,0.202452820381
1,0.2,1.39,0.250509428978
1,0.2,1.4,0.217704508644
1,0.2,1.41,0.199747829278
1,0.2,1.42,0.168913048842
1,0.2,1.43,0.140826407329
1,0.2,1.44,0.196426033151
1,0.2,1.45,0.178605600917
1,0.2,1.46,0.181302587627
1,0.2,1.47,0.12245769448
1,0.2,1.48,0.113509273777
1,0.2,1.49,0.152287188316
1,0.2,1.5,0.263237053995
2,0.5,0.0,0.509009733788
2,0.5,0.01,0.4778158002
2,0.5,0.02,0.459622553832
2,0.5,0.03,0.442322445755
2,0.5,0.04,0.375713721931
2,0.5,0.05,0.373292495663
2,0.5,0.06,0.447839939907
2,0.5,0.07,0.367259795351
2,0.5,0.08,0.302181188711
2,0.5,0.09,0.253323081149
2,0.5,0.1,0.411638814284
2,0.5,0.11,0.38177431123
2,0.5,0.12,0.243537191426
2,0.5,0.13,0.246088252688
2,0.5,0.14,0.137832719719
2,0.5,0.15,0.292213704902
2,0.5,0.16,0.154788460792
2,0.5,0.17,0.237674347444
2,0.5,0.18,0.279742293144
2,0.5,0.19,0.184456791726
2,0.5,0.2,0.194954727318
2,0.5,0.21,0.182105428405
2,0.5,0.22,0.166021598134
2,0.5,0.23,0.178054841484
2,0.5,0.24,0.0693732659404
2,0.5,0.25,0.169090846445
2,0.5,0.26,0.144649697663
2,0.5,0.27,0.227563619948
2,0.5,0.28,0.128072739811
2,0.5,0.29,0.230539046554
2,0.5,0.3,0.24191895345
2,0.5,0.31,0.308890244168
2,0.5,0.32,0.157255349998
2,0.5,0.33,0.104753209675
2,0.5,0.34,0.033777084545
2,0.5,0.35,0.023479937944
2,0.5,0.36,0.100620858259
2,0.5,0.37,0.151046282367
2,0.5,0.38,0.0998252694476
2,0.5,0.39,0.10988378059
2,0.5,0.4,0.250798579777
2,0.5,0.41,0.106777109861
2,0.5,0.42,0.103479808968
2,0.5,0.43,0.147623983189
2,0.5,0.44,0.205961277122
2,0.5,0.45,0.0930015071077
2,0.5,0.46,0.054819490095
2,0.5,0.47,0.0800287919149
2,0.5,0.48,0.0740492965857
2,0.5,0.49,0.0702298841633
2,0.5,0.5,0.0794195709643
2,0.5,0.51,0.16677759388
2,0.5,0.52,0.0800966486779
2,0.5,0.53,0.207155127144
2,0.5,0.54,0.0789326860672
2,0.5,0.55,0.132536558143
2,0.5,0.56,0.0403782661385
2,0.5,0.57,0.186079427095
2,0.5,0.58,0.249400123989
2,0.5,0.59,0.15088097561
2,0.5,0.6,0.135807712934
2,0.5,0.61,0.113822851661
2,0.5,0.62,0.0994395032802
2,0.5,0.63,0.128679392207
2,0.5,0.64,0.101601904804
2,0.5,0.65,0.101828077209
2,0.5,0.66,0.248654895817
2,0.5,0.67,0.355606906629
2,0.5,0.68,0.198601955392
2,0.5,0.69,0.345173927769
2,0.5,0.7,0.1772133266
2,0.5,0.71,0.225754890732
2,0.5,0.72,0.0682002987957
2,0.5,0.73,0.11853792622
2,0.5,0.74,0.284728391803
2,0.5,0.75,0.129275963403
2,0.5,0.76,0.0981114499111
2,0.5,0.77,0.137439116458
2,0.5,0.78,0.209579400582
2,0.5,0.79,0.0996187108606
2,0.5,0.8,0.141999905119
2,0.5,0.81,0.169835383907
2,0.5,0.82,0.20090026489
2,0.5,0.83,0.136951070769
2,0.5,0.84,0.105187892764
2,0.5,0.85,0.133782181849
2,0.5,0.86,0.0643032162268
2,0.5,0.87,0.0967437334922
2,0.5,0.88,0.320813070432
2,0.5,0.89,0.174204706673
2,0.5,0.9,0.138483667745
2,0.5,0.91,0.267705329261
2,0.5,0.92,0.246057337972
2,0.5,0.93,0.25329427425
2,0.5,0.94,0.17308812482
2,0.5,0.95,0.153037430723
2,0.5,0.96,0.199467797373
2,0.5,0.97,0.108742183325
2,0.5,0.98,0.114715370786
2,0.5,0.99,0.295475491987
2,0.5,1.0,0.198286656612
2,0.5,1.01,0.177303588219
2,0.5,1.02,0.0917615466817
2,0.5,1.03,0.153122855445
2,0.5,1.04,0.152489783951
2,0.5,1.05,0.217353523214
2,0.5,1.06,0.156321747488
2,0.5,1.07,0.169375323139
2,0.5,1.08,0.155627098709
2,0.5,1.09,0.145005122786
2,0.5,1.1,0.10630821063
2,0.5,1.11,0.172860250461
2,0.5,1.12,0.216968115617
2,0.5,1.13,0.191603649549
2,0.5,1.14,0.189726325983
2,0.5,1.15,0.186080789007
2,0.5,1.16,0.219899352587
2,0.5,1.17,0.177937704736
2,0.5,1.18,0.140690174775
2,0.5,1.19,0.210489244208
2,0.5,1.2,0.162952642451
2,0.5,1.21,0.266947725751
2,0.5,1.22,0.139475937887
2,0.5,1.23,0.221641421998
2,0.5,1.24,0.251338705932
2,0.5,1.25,0.220909893764
2,0.5,1.26,0.2477449846
2,0.5,1.27,0.111984302209
2,0.5,1.28,0.238982800332
2,0.5,1.29,0.242475825618
2,0.5,1.3,0.290473097574
2,0.5,1.31,0.115740579365
2,0.5,1.32,0.315921962551
2,0.5,1.33,0.201914285267
2,0.5,1.34,0.20855346144
2,0.5,1.35,0.234719378299
2,0.5,1.36,0.248956257061
2,0.5,1.37,0.234515030137
2,0.5,1.38,0.141016173591
2,0.5,1.39,0.171458049685
2,0.5,1.4,0.194881488606
2,0.5,1.41,0.287224144463
2,0.5,1.42,0.229278644506
2,0.5,1.43,0.229507500899
2,0.5,1.44,0.229645174726
2,0.5,1.45,0.176395130108
2,0.5,1.46,0.264758272673
2,0.5,1.47,0.135315580187
2,0.5,1.48,0.168598041651
2,0.5,1.49,0.162625504429
2,0.5,1.5,0.202753425376
2,0.2,0.0,0.509009733788
2,0.2,0.01,0.493670178982
2,0.2,0.02,0.471379725125
2,0.2,0.03,0.464370786598
2,0.2,0.04,0.421245422201
2,0.2,0.05,0.402574373515
2,0.2,0.06,0.4446087384
2,0.2,0.07,0.385963994446
2,0.2,0.08,0.454299437011
2,0.2,0.09,0.385371435062
2,0.2,0.1,0.371229602161
2,0.2,0.11,0.343608236638
2,0.2,0.12,0.30242066516
2,0.2,0.13,0.264024251852
2,0.2,0.14,0.341711547615
2,0.2,0.15,0.286445855985
2,0.2,0.16,0.300759090728
2,0.2,0.17,0.181938212819
2,0.2,0.18,0.218569766858
2,0.2,0.19,0.186476929866
2,0.2,0.2,0.202570663783
2,0.2,0.21,0.320192254543
2,0.2,0.22,0.175908567573
2,0.2,0.23,0.383418933873
2,0.2,0.24,0.201296629179
2,0.2,0.25,0.0843327403627
2,0.2,0.26,0.228589028863
2,0.2,0.27,0.166615263186
2,0.2,0.28,0.0788737280122
2,0.2,0.29,0.174616137189
2,0.2,0.3,0.295900165369
2,0.2,0.31,0.204830536197
2,0.2,0.32,0.232183302479
2,0.2,0.33,0.189564856602
2,0.2,0.34,0.263820537737
2,0.2,0.35,0.16236287451
2,0.2,0.36,0.0862242442092
2,0.2,0.37,0.132040495383
2,0.2,0.38,0.113867952856
2,0.2,0.39,0.193991781503
2,0.2,0.4,0.185233174867
2,0.2,0.41,0.157426547537
2,0.2,0.42,0.137425574551
2,0.2,0.43,0.159430089603
2,0.2,0.44,0.268556650374
2,0.2,0.45,0.19844597562
2,0.2,0.46,0.0688654032067
2,0.2,0.47,0.110262695963
2,0.2,0.48,0.223647979827
2,0.2,0.49,0.0569822530437
2,0.2,0.5,0.133262154822
2,0.2,0.51,0.142505958132
2,0.2,0.52,0.124409851524
2,0.2,0.53,0.179424992211
2,0.2,0.54,0.074480509946
2,0.2,0.55,0.0660035930044
2,0.2,0.56,0.142066174952
2,0.2,0.57,0.0976400773968
2,0.2,0.58,0.112512317396
2,0.2,0.59,0.1267291129
2,0.2,0.6,0.169375255267
2,0.2,0.61,0.15149333355
2,0.2,0.62,0.188378002709
2,0.2,0.63,0.132145553991
2,0.2,0.64,0.175402653231
2,0.2,0.65,0.169235900935
2,0.2,0.66,0.105337223334
2,0.2,0.67,0.281910859271
2,0.2,0.68,0.175944843676
2,0.2,0.69,0.115805787979
2,0.2,0.7,0.120447453672
2,0.2,0.71,0.0726512895341
2,0.2,0.72,0.11121830183
2,0.2,0.73,0.316189848417
2,0.2,0.74,0.101752994954
2,0.2,0.75,0.132986096643
2,0.2,0.76,0.126233633202
2,0.2,0.77,0.152291999759
2,0.2,0.78,0.0940036333363
2,0.2,0.79,0.148084573635
2,0.2,0.8,0.100706337729
2,0.2,0.81,0.140112013067
2,0.2,0.82,0.179759480648
2,0.2,0.83,0.0808301564207
2,0.2,0.84,0.226779528551
2,0.2,0.85,0.181996669977
2,0.2,0.86,0.3260268359
2,0.2,0.87,0.164292980442
2,0.2,0.88,0.160066497783
2,0.2,0.89,0.0871639618161
2,0.2,0.9,0.141266320115
2,0.2,0.91,0.0869298413009
2,0.2,0.92,0.160537032623
2,0.2,0.93,0.234249313067
2,0.2,0.94,0.153855175876
2,0.2,0.95,0.14036423241
2,0.2,0.96,0.119936308288
2,0.2,0.97,0.224993615017
2,0.2,0.98,0.106527250301
2,0.2,0.99,0.141734602485
2,0.2,1.0,0.128064319418
2,0.2,1.01,0.131723078756
2,0.2,1.02,0.183832104478
2,0.2,1.03,0.352277975015
2,0.2,1.04,0.244712841148
2,0.2,1.05,0.201310514726
2,0.2,1.06,0.171296421263
2,0.2,1.07,0.14036002168
2,0.2,1.08,0.207786942867
2,0.2,1.09,0.0991680768218
2,0.2,1.1,0.120674957898
2,0.2,1.11,0.217964578155
2,0.2,1.12,0.14827861915
2,0.2,1.13,0.273735476893
2,0.2,1.14,0.135319163826
2,0.2,1.15,0.20262405893
2,0.2,1.16,0.18585698134
2,0.2,1.17,0.259860768546
2,0.2,1.18,0.225872136876
2,0.2,1.19,0.115198214118
2,0.2,1.2,0.227409963654
2,0.2,1.21,0.211373934417
2,0.2,1.22,0.166993843872
2,0.2,1.23,0.218157262085
2,0.2,1.24,0.142246262263
2,0.2,1.25,0.207508171602
2,0.2,1.26,0.183265906437
2,0.2,1.27,0.138789311274
2,0.2,1.28,0.111730450903
2,0.2,1.29,0.178126207816
2,0.2,1.3,0.110473082371
2,0.2,1.31,0.233181866984
2,0.2,1.32,0.269799751453
2,0.2,1.33,0.14138648615
2,0.2,1.34,0.208239982986
2,0.2,1.35,0.158917656135
2,0.2,1.36,0.189998456724
2,0.2,1.37,0.192850884208
2,0.2,1.38,0.17020350266
2,0.2,1.39,0.177096637118
2,0.2,1.4,0.169608653952
2,0.2,1.41,0.197493096298
2,0.2,1.42,0.164772982382
2,0.2,1.43,0.242022620994
2,0.2,1.44,0.139356466942
2,0.2,1.45,0.14460922251
2,0.2,1.46,0.178642398598
2,0.2,1.47,0.232367518429
2,0.2,1.48,0.229899119047
2,0.2,1.49,0.333796514111
2,0.2,1.5,0.184566766152
3,0.5,0.0,0.509009733788
3,0.5,0.01,0.483784054977
3,0.5,0.02,0.460899302919
3,0.5,0.03,0.421231048966
3,0.5,0.04,0.417014294635
3,0.5,0.05,0.377564478038
3,0.5,0.06,0.44525638787
3,0.5,0.07,0.294119057588
3,0.5,0.08,0.337999118715
3,0.5,0.09,0.288839833115
3,0.5,0.1,0.243790537027
3,0.5,0.11,0.364447258864
3,0.5,0.12,0.287004401402
3,0.5,0.13,0.193746533677
3,0.5,0.14,0.335570652606
3,0.5,0.15,0.333853807381
3,0.5,0.16,0.331575135219
3,0.5,0.17,0.0711492995944
3,0.5,0.18,0.337529951655
3,0.5,0.19,0.0627274655308
3,0.5,0.2,0.209493872671
3,0.5,0.21,0.140593788755
3,0.5,0.22,0.184895913216
3,0.5,0.23,0.116060255821
3,0.5,0.24,0.35209738151
3,0.5,0.25,0.0896287803792
3,0.5,0.26,0.16137141064
3,0.5,0.27,0.174528352475
3,0.5,0.28,0.0922183981037
3,0.5,0.29,0.0657117536004
3,0.5,0.3,0.233002554661
3,0.5,0.31,0.247898285419
3,0.5,0.32,0.128157149156
3,0.5,0.33,0.213321499072
3,0.5,0.34,0.081391793152
3,0.5,0.35,0.116506168622
3,0.5,0.36,0.0308152689998
3,0.5,0.37,0.0600612183401
3,0.5,0.38,0.130920959924
3,0.5,0.39,0.145051405517
3,0.5,0.4,0.084917607439
3,0.5,0.41,0.170422960641
3,0.5,0.42,0.095691701159
3,0.5,0.43,0.0669065054128
3,0.5,0.44,0.100270490963
3,0.5,0.45,0.145095827489
3,0.5,0.46,0.0756907810048
3,0.5,0.47,0.178001058777
3,0.5,0.48,0.137051547548
3,0.5,0.49,0.0960076585688
3,0.5,0.5,0.0602184573997
3,0.5,0.51,0.129353982955
3,0.5,0.52,0.18733930002
3,0.5,0.53,0.296165598243
3,0.5,0.54,0.12025242136
3,0.5,0.55,0.132944027765
3,0.5,0.56,0.213582683724
3,0.5,0.57,0.119829670388
3,0.5,0.58,0.0617859436543
3,0.5,0.59,0.098513033507
3,0.5,0.6,0.19163046296
3,0.5,0.61,0.0828042936482
3,0.5,0.62,0.151667367255
3,0.5,0.63,0.207062716628
3,0.5,0.64,0.0451015022041
3,0.5,0.65,0.14354607082
3,0.5,0.66,0.193245577797
3,0.5,0.67,0.121235783333
3,0.5,0.68,0.279553977766
3,0.5,0.69,0.064620657025
3,0.5,0.7,0.248206052376
3,0.5,0.71,0.121253414115
3,0.5,0.72,0.0967372354366
3,0.5,0.73,0.21851152566
3,0.5,0.74,0.150452442665
3,0.5,0.75,0.183896945129
3,0.5,0.76,0.169074292631
3,0.5,0.77,0.211126309152
3,0.5,0.78,0.191531523294
3,0.5,0.79,0.23615695321
3,0.5,0.8,0.213986610342
3,0.5,0.81,0.178077132487
3,0.5,0.82,0.198171185521
3,0.5,0.83,0.203230421343
3,0.5,0.84,0.161403404044
3,0.5,0.85,0.14916559988
3,0.5,0.86,0.12510868309
3,0.5,0.87,0.225315342714
3,0.5,0.88,0.203685420245
3,0.5,0.89,0.147455679264
3,0.5,0.9,0.169336713253
3,0.5,0.91,0.0826250697379
3,0.5,0.92,0.152760599136
3,0.5,0.93,0.119547989661
3,0.5,0.94,0.163446751716
3,0.5,0.95,0.305799522546
3,0.5,0.96,0.295261873309
3,0.5,0.97,0.273046351189
3,0.5,0.98,0.301538015178
3,0.5,0.99,0.181378405405
3,0.5,1.0,0.142342896475
3,0.5,1.01,0.159647200908
3,0.5,1.02,0.172437391592
3,0.5,1.03,0.149109975082
3,0.5,1.04,0.196414310983
3,0.5,1.05,0.107213941737
3,0.5,1.06,0.0888562110709
3,0.5,1.07,0.379097140029
3,0.5,1.08,0.123945144497
3,0.5,1.09,0.14863383197
3,0.5,1.1,0.199310411067
3,0.5,1.11,0.286935944722
3,0.5,1.12,0.196517618704
3,0.5,1.13,0.126701220133
3,0.5,1.14,0.103189238209
3,0.5,1.15,0.168343402655
3,0.5,1.16,0.259875788838
3,0.5,1.17,0.204663626643
3,0.5,1.18,0.296843259979
3,0.5,1.19,0.194669958854
3,0.5,1.2,0.118692918969
3,0.5,1.21,0.174372381739
3,0.5,1.22,0.120328542823
3,0.5,1.23,0.115392306218
3,0.5,1.24,0.129043728593
3,0.5,1.25,0.126801266791
3,0.5,1.26,0.173522242417
3,0.5,1.27,0.223481103888
3,0.5,1.28,0.191216870604
3,0.5,1.29,0.115692687435
3,0.5,1.3,0.229033082103
3,0.5,1.31,0.240187679674
3,0.5,1.32,0.2477015037
3,0.5,1.33,0.392046747959
3,0.5,1.34,0.222880958882
3,0.5,1.35,0.243446839661
3,0.5,1.36,0.195350075158
3,0.5,1.37,0.201087919103
3,0.5,1.38,0.227917813973
3,0.5,1.39,0.140210086231
3,0.5,1.4,0.2090817741
3,0.5,1.41,0.174170174673
3,0.5,1.42,0.189122378307
3,0.5,1.43,0.210958151116
3,0.5,1.44,0.259590177512
3,0.5,1.45,0.353499353428
3,0.5,1.46,0.207954672304
3,0.5,1.47,0.157642305404
3,0.5,1.48,0.143261586831
3,0.5,1.49,0.241662753846
3,0.5,1.5,0.153680894152
3,0.2,0.0,0.509009733788
3,0.2,0.01,0.486013700973
3,0.2,0.02,0.478752998847
3,0.2,0.03,0.443000168408
3,0.2,0.04,0.393206648257
3,0.2,0.05,0.435727711187
3,0.2,0.06,0.421660016636
3,0.2,0.07,0.387431507256
3,0.2,0.08,0.37154508223
3,0.2,0.09,0.452690283474
3,0.2,0.1,0.37364983483
3,0.2,0.11,0.289894110014
3,0.2,0.12,0.255500234743
3,0.2,0.13,0.213532488625
3,0.2,0.14,0.315232321151
3,0.2,0.15,0.282767938859
3,0.2,0.16,0.371370074821
3,0.2,0.17,0.298817791327
3,0.2,0.18,0.260755713421
3,0.2,0.19,0.0934505155369
3,0.2,0.2,0.212221253396
3,0.2,0.21,0.195339288272
3,0.2,0.22,0.175143554827
3,0.2,0.23,0.18907077745
3,0.2,0.24,0.13855060287
3,0.2,0.25,0.423227824407
3,0.2,0.26,0.10368048776
3,0.2,0.27,0.11493606906
3,0.2,0.28,0.275623591454
3,0.2,0.29,0.205528907621
3,0.2,0.3,0.193088077673
3,0.2,0.31,0.246233493956
3,0.2,0.32,0.184786609914
3,0.2,0.33,0.104434967918
3,0.2,0.34,0.140989443486
3,0.2,0.35,0.176275442799
3,0.2,0.36,0.220426755989
3,0.2,0.37,0.175672495081
3,0.2,0.38,0.108482095139
3,0.2,0.39,0.141119305516
3,0.2,0.4,0.298674181379
3,0.2,0.41,0.184175331301
3,0.2,0.42,0.303396173104
